CATION_ANION Temperature Pressure Density
C0190_A0048 273.13 50000 1425.4
C0190_A0048 273.13 99920 1449.1
C0190_A0048 273.14 20000 1408
C0190_A0048 273.14 69900 1435.5
C0190_A0048 273.14 120000 1457.5
C0190_A0048 273.15 101 1394.5
C0190_A0048 273.15 1025 1395.5
C0190_A0048 273.15 10021 1401.6
C0190_A0048 273.15 29950 1414.1
C0190_A0048 273.15 39960 1419.9
C0190_A0048 273.15 59920 1430.5
C0190_A0048 273.15 80000 1440.3
C0190_A0048 273.15 110000 1453.4
C0190_A0048 273.15 130000 1461.5
C0190_A0048 273.15 140000 1465.4
C0190_A0048 273.16 5032 1398.2
C0190_A0048 273.17 89920 1444.8
C0190_A0048 283.12 1145 1386.6
C0190_A0048 283.13 5278 1389.6
C0190_A0048 283.14 19640 1399.3
C0190_A0048 283.14 29980 1405.8
C0190_A0048 283.14 30060 1405.9
C0190_A0048 283.14 40160 1411.9
C0190_A0048 283.14 50100 1417.6
C0190_A0048 283.15 101 1385.9
C0190_A0048 283.15 9894 1392.8
C0190_A0048 283.15 10240 1393
C0190_A0048 283.15 20040 1399.6
C0190_A0048 283.15 40070 1411.9
C0190_A0048 283.15 50030 1417.5
C0190_A0048 283.15 60350 1423.1
C0190_A0048 283.15 90030 1437.7
C0190_A0048 283.15 90540 1437.9
C0190_A0048 283.15 99590 1442
C0190_A0048 283.15 99690 1442
C0190_A0048 283.15 109500 1446.3
C0190_A0048 283.15 119600 1450.6
C0190_A0048 283.15 130000 1454.8
C0190_A0048 283.15 139900 1458.8
C0190_A0048 283.16 5245 1389.6
C0190_A0048 283.16 60230 1423
C0190_A0048 283.16 69310 1427.7
C0190_A0048 283.16 70000 1428
C0190_A0048 283.16 79510 1432.7
C0190_A0048 283.16 80500 1433.2
C0190_A0048 283.18 1894 1387.2
C0190_A0048 293.14 79830 1425.5
C0190_A0048 293.14 90030 1430.5
C0190_A0048 293.14 99320 1434.8
C0190_A0048 293.15 101 1376.9
C0190_A0048 293.15 1377 1377.9
C0190_A0048 293.15 4991 1380.5
C0190_A0048 293.15 20140 1391.1
C0190_A0048 293.15 30240 1397.7
C0190_A0048 293.15 39480 1403.4
C0190_A0048 293.15 69950 1420.5
C0190_A0048 293.15 70290 1420.7
C0190_A0048 293.15 109900 1439.6
C0190_A0048 293.15 119400 1443.7
C0190_A0048 293.15 139500 1452
C0190_A0048 293.16 10023 1384.1
C0190_A0048 293.16 40250 1403.9
C0190_A0048 293.16 50000 1409.6
C0190_A0048 293.16 50430 1409.9
C0190_A0048 293.16 59500 1414.9
C0190_A0048 293.16 60260 1415.3
C0190_A0048 293.16 80390 1425.8
C0190_A0048 293.16 89960 1430.4
C0190_A0048 293.16 98220 1434.3
C0190_A0048 293.16 129600 1448
C0190_A0048 293.17 1593 1378
C0190_A0048 293.17 29920 1397.5
C0190_A0048 293.18 5133 1380.6
C0190_A0048 293.19 20050 1391
C0190_A0048 293.2 10122 1384.2
C0190_A0048 298.13 29980 1393.4
C0190_A0048 298.14 10002 1379.7
C0190_A0048 298.14 29940 1393.4
C0190_A0048 298.14 69920 1416.7
C0190_A0048 298.14 89930 1426.8
C0190_A0048 298.15 101 1372.4
C0190_A0048 298.15 1024 1373.1
C0190_A0048 298.15 1065 1373.1
C0190_A0048 298.15 5012 1376.1
C0190_A0048 298.15 10056 1379.8
C0190_A0048 298.15 19960 1386.7
C0190_A0048 298.15 19960 1386.7
C0190_A0048 298.15 39900 1399.6
C0190_A0048 298.15 40000 1399.7
C0190_A0048 298.15 59970 1411.3
C0190_A0048 298.15 60010 1411.4
C0190_A0048 298.15 79950 1421.9
C0190_A0048 298.15 80020 1421.9
C0190_A0048 298.15 99950 1431.5
C0190_A0048 298.15 99990 1431.6
C0190_A0048 298.15 110000 1436.1
C0190_A0048 298.15 120000 1440.5
C0190_A0048 298.15 130000 1444.8
C0190_A0048 298.15 140000 1448.9
C0190_A0048 298.16 5044 1376.1
C0190_A0048 298.16 49960 1405.7
C0190_A0048 298.16 50010 1405.7
C0190_A0048 298.16 89920 1426.8
C0190_A0048 298.17 69860 1416.7
C0190_A0048 313.12 19690 1373.7
C0190_A0048 313.13 1698 1360.1
C0190_A0048 313.13 9595 1366.2
C0190_A0048 313.14 69520 1405.2
C0190_A0048 313.14 79460 1410.5
C0190_A0048 313.14 89700 1415.8
C0190_A0048 313.15 101 1358.8
C0190_A0048 313.15 19940 1373.9
C0190_A0048 313.15 30010 1380.9
C0190_A0048 313.15 40200 1387.7
C0190_A0048 313.15 49550 1393.5
C0190_A0048 313.15 50010 1393.8
C0190_A0048 313.15 59390 1399.4
C0190_A0048 313.15 59880 1399.7
C0190_A0048 313.15 69970 1405.4
C0190_A0048 313.15 90040 1416
C0190_A0048 313.15 99150 1420.5
C0190_A0048 313.15 99550 1420.7
C0190_A0048 313.15 110000 1425.6
C0190_A0048 313.15 120000 1430.2
C0190_A0048 313.15 139900 1438.8
C0190_A0048 313.16 4693 1362.5
C0190_A0048 313.16 5247 1362.9
C0190_A0048 313.16 39760 1387.4
C0190_A0048 313.16 80030 1410.8
C0190_A0048 313.16 129900 1434.5
C0190_A0048 313.18 1996 1360.3
C0190_A0048 313.18 10210 1366.7
C0190_A0048 313.22 29200 1380.4
C0190_A0048 333.14 10350 1349.2
C0190_A0048 333.14 19740 1356.6
C0190_A0048 333.14 20180 1356.9
C0190_A0048 333.15 101 1340.6
C0190_A0048 333.15 1596 1341.9
C0190_A0048 333.15 10129 1349
