id,smiles
A0002,C(CC)[B-](F)(F)F
A0003,[C-](S(=O)(=O)C(F)(F)F)(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
A0004,[Br-]
A0005,FC(F)(F)C(=O)[CH-]C(=O)C1=CC=CS1
A0006,FC(C=1C=C(C=C(C1)C(F)(F)F)[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(F)F
A0007,O=C1[N-]S(=O)(=O)C2=CC=CC=C12
A0008,FC(F)(F)[B-](F)(F)F
A0009,FC(C(F)(F)[B-](F)(F)F)(C(F)(F)F)F
A0010,FC(F)(F)C(=O)[CH-]C(=O)C(F)(F)F
A0011,F[P-](F)(F)(F)(F)F
A0012,P(=O)(O)(O)[O-]
A0013,C[Si](C)(CCC(F)(F)F)C1=CC=C(C=C1)[B-](C1=CC=C(C=C1)[Si](C)(C)CCC(F)(F)F)(C1=CC=C(C=C1)[Si](C)(C)CCC(F)(F)F)C1=CC=C(C=C1)[Si](C)(C)CCC(F)(F)F
A0014,[N+](=O)([O-])C1(N=NC=N1)C(=O)[O-]
A0015,[S-]C#N
A0017,S(=O)(=O)(O)[O-]
A0019,[N+](=O)([O-])C1(N=NN=N1)C(=O)[O-]
A0020,F[B-](F)(F)F
A0021,FC(C(C(F)(F)[B-](F)(F)F)(F)F)(C(F)(F)F)F
A0024,C(=O)[O-]
A0025,C(CCCC)[B-](F)(F)F
A0026,[H][B-]([H])([H])[H]
A0027,FS(=O)(=O)[N-]S(F)(=O)=O
A0028,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
A0029,CC(CC#N)[B-](F)(F)F
A0030,S(=O)(=O)([O-])C1=CC=C(C)C=C1
A0031,C(C1=CC=CC=C1)(=O)[O-]
A0032,CS(=O)(=O)[N-]S(C)(=O)=O
A0033,[Cl-]
A0034,FC(F)(F)C(=O)[N-]S(=O)(=O)C(F)(F)F
A0035,[N+](=O)([O-])C=1N=C(NC1[N+](=O)[O-])C(=O)[O-]
A0036,FC(F)(F)C(=O)[CH-]C(=O)C1=CC=CO1
A0037,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F
A0038,FC(COS(=O)(=O)[O-])(C(F)F)F
A0039,C(C=C/C(=O)[O-])(=O)O
A0040,FC(C(C(F)(F)F)O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)(F)F
A0041,C(CCC)[B-](F)(F)F
A0043,FC(C(F)(F)F)(F)[B-](F)(F)F
A0044,COS(=O)(=O)[O-]
A0047,CC=CC([O-])=O
A0048,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
A0049,CC1=CC(=O)[N-]S(=O)(=O)O1
A0050,C(CCC)OS(=O)(=O)[O-]
A0051,Cl(=O)(=O)(=O)[O-]
A0054,S(C)(=O)(=O)[O-]
A0055,C(#N)[C-](C#N)C#N
A0056,C(#N)[N-]C#N
A0058,CCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOS([O-])(=O)=O
A0061,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2
A0062,N(=O)[O-]
A0063,O=N(=O)[N-]N(=O)=O
A0064,FC(C(=O)[O-])(F)F
A0065,[O-]S(=O)(=O)OC(F)(F)C(F)(F)F
A0067,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F
A0069,[I-]
A0070,C([O-])(O)=O
A0071,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F
A0073,[N-]=[N+]=[N-]
A0074,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
A0075,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(C=C1)[B-](C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
A0077,C(CCCC)OS(=O)(=O)[O-]
A0078,FC(COS(=O)(=O)[O-])(C(C(C(F)F)(F)F)(F)F)F
A0079,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F
A0080,FC(COS(=O)(=O)[O-])(F)F
A0081,C([C@@H](O)C)(=O)[O-]
A0083,C(C)OS(=O)(=O)[O-]
A0084,FC(S(=O)(=O)[O-])(F)F
A0085,[Al-](Cl)(Cl)(Cl)Cl
A0086,FC(CCCOS(=O)(=O)[O-])(C(F)(F)F)F
A0087,C(C)(=O)[O-]
A0088,OC(=O)C1=CC=CC=C1C([O-])=O
A0089,[O-]C(=O)CCl
A0090,[N+](=O)([O-])[O-]
A0091,C(C)OP(=O)(OCC)[O-]
A0092,C(CCC)OP(=O)(OCCCC)[O-]
A0093,S(N)([O-])(=O)=O
A0094,C(C1=CC=NC=C1)(=O)[O-]
A0095,C(C1=CN=CC=C1)(=O)[O-]
A0096,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F
A0097,[O-]P(F)(F)=O
A0098,N1N=N[C-]=C1
A0099,[N+](=O)([O-])C=1C=N[N-]C1
A0100,CC=1[N-]C(=CN1)[N+](=O)[O-]
A0101,N1N=[C-]N=C1
A0102,[N+](=O)([O-])C=1N=C[N-]C1
A0103,C(C)S(=O)(=O)[O-]
A0104,C(CC)S(=O)(=O)[O-]
A0105,C(CCC)S(=O)(=O)[O-]
A0106,C(CCCCC)S(=O)(=O)[O-]
A0107,C(C(=O)[O-])(=O)O
A0109,FC(C1=N[N-]C=C1)(F)F
A0110,CC1=N[N-]C(=C1)C(F)(F)F
A0111,[N-]1N=CC2=CC=CC=C12
A0112,S(=O)(=O)(OCCOCCOC)[O-]
A0113,FC(F)(F)[N-]C(F)(F)F
A0114,S(=O)(=O)(OCCCCCCCC)[O-]
A0115,c1ccc2O[B-]3(Oc2c1)Oc1ccccc1O3
A0116,O=C(C(F)(F)F)[CH-]C(=O)C
A0117,C(#N)[B-](C#N)(C#N)C#N
A0118,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
A0120,OCC(=O)[O-]
A0121,OC(C(=O)[O-])C
A0122,[OH-]
A0123,CC(CP([O-])(=O)CC(CC(C)(C)C)C)CC(C)(C)C
A0124,C(CCCCCCCCC)(=O)[O-]
A0126,N#C[C-](C(=C(C#N)C#N)C#N)C#N
A0127,N#C[C-](C=C(C#N)C#N)C#N
A0128,N#CCC(=C(C#N)C#N)[C-](C#N)C#N
A0129,N#C[C-](C(=C(C#N)C#N)OC)C#N
A0130,N#C[C-](C(=C(C#N)C#N)C)C#N
A0131,[O-]C(=O)COc1ccc2c(c1)cccc2
A0132,[O-]C(=O)CCC1CCCCC1
A0133,[O-]C(=O)[C@@]1(N=NC=N1)[N+](=O)[O-]
A0134,[O-]C(=O)[C@@H](N)C
A0135,[O-]C(=O)c1c2ccccc2cc2c1cccc2
A0136,[O-]C(=O)C1CCCCC1
A0137,[O-]C(=O)CC1CCCC1
A0138,[O-]C(=O)C1CCCC1
A0140,F[B-](CC)(F)F
A0141,[O-]C(=O)CN
A0142,NCCCC[C@@H](C(=O)[O-])N
A0143,C[B-](F)(F)F
A0144,[O-]S(=O)(=O)c1ccc2c(c1)OCCOCCOCCOCCO2
A0145,[O-]C(=O)c1ccccc1O
A0146,[O-]C(=O)[C@H](CO)N
A0147,FC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(c1ccc(cc1)[B-](c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F
A0148,F[B-](c1ccccc1)(F)F
A0151,F[B-](C=C)(F)F
A0152,[O-]c1ccccc1
A0153,[O-]c1ccc(cc1)C
