id,smiles
C0001,CC(C)N1C=C(C[C@@H](NC(=O)OC(C)(C)C)C(C)=O)[N+](=C1)C(C)C
C0002,CCCCCCCCCCCCCCCC[N+](C1CCCCC1)(C)C
C0003,OCC([n+]1ccn(c1)CC)CC(C)C
C0004,C=CC[n+]1cccc(c1)O
C0005,CCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCC)(C)C
C0006,BrC(=C)Cn1c[n+](c2c1cccc2)CC(=O)c1ccc(cc1)Br
C0007,N[NH+]1N=CN=C1N
C0008,CCCCCCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCCCCCC)(C)C
C0009,CCCCCC[n+]1ccc(c(c1)C)N(C)C
C0010,CCCCCC[P+](C)(C)C
C0011,O=C(c1c(C)c(C)cc(c1C)C)Cn1cc[n+](c1)CC(=O)c1c(C)c(C)cc(c1C)C
C0012,CC(=O)C([n+]1c(C)n(c2c1cccc2)C)C
C0013,C=CC[N+](CCOC(=O)CCCCCCCCCCCCCCC)(CCOC(=O)CCCCCCCCCCCCCCC)C
C0014,CCc1n(OCc2ccc(cc2)Br)cc[n+]1OCc1ccc(cc1)Br
C0015,CC(=O)C[n+]1c(C)cccc1C
C0016,CCCC[N+](CCCC)(CCCC)CCCS(=O)(=O)O
C0017,CCC(C[N+](C)(C)C)OC
C0018,N#CCCn1c(CO)[n+](c2c1cccc2)CC(=O)c1ccccc1
C0019,Cn1cc[n+](c1)CC(=O)c1cccc(c1)C
C0020,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCC
C0021,N#CCCCn1c[n+](c2c1cccc2)CCC#N
C0022,CC[N+](CCC(C)C)(CCC(C)C)C
C0023,CC[C@@H]([C@@H](C(=O)O)[NH3+])C
C0024,CCCCCCCCCC[n+]1c2cc(Cl)c(cc2n(c1C=CC=c1n(CCCC(=O)O)c2c(n1CCCCCCCCCC)cc(c(c2)Cl)Cl)CCCC(=O)O)Cl
C0025,CCCC[N+](CC)(C)C
C0026,CCCCCCCCCCCCn1cc[n+](c1)CC[C@@H](CCC=C(C)C)C
C0027,CCOC(=O)C[n+]1c(c2ccc(o2)c2ccc(cc2)Cl)n(c2c1cc(C#N)cc2)C
C0029,Cc1cc(cc(c1O)C)C[N+](c1ccccc1)(C)C
C0030,O=C(C[n+]1c2ccccc2n(c1N)Cc1ccccc1)Nc1ccccc1
C0031,CCOC(=O)C1CCC[NH2+]1
C0032,O=C(c1ccccc1)C[N+](CC1CCCCC1)(C)C
C0033,C[n+]1cccc(c1)O
C0034,CCCCCCCCCCCCCC[N+](CCCCC)(CCCCC)CCCCC
C0035,Cc1cccc(c1)C[N+](Cc1cccc(c1)C)(C)C
C0036,CCC[NH2+]CCC
C0037,OCC[n+]1c(C=CC=c2n(CC)c3c(n2CC)ccc(c3)C#N)n(c2c1cc(C#N)cc2)CCOC(=O)C
C0038,CCCCOCn1cc[n+](c1)COCCCC
C0039,C[N+](C1COCC1)(C)C
C0040,CCC(C[NH3+])C
C0041,Brc1[n+](O)c(c(n1O)C)C
C0042,C#CC[N+](CC#Cc1cccc2c1cccc2)(CC)CC
C0043,COc1ccc(cc1)C(c1ccc(cc1)OC)C[N+](C)(C)C
C0044,CC[N+]1(CCCCC1)CC(=O)OC
C0045,Cn1cc[n+](c1)Cc1ccc(cc1)C(=O)c1ccccc1
C0046,CCC[N+](=C1N(C)CCN1C)C
C0047,CCCCCCCCCCCCCCCC[N+](CCOC(=O)C)(C)C
C0048,CC[C@@H]1C(=O)OC[C@@H]1Cc1c[n+](cn1C)CC(=O)c1ccc(cc1)c1ccccc1
C0049,COC(=O)Cn1c2ccccc2[n+](c1C)CC(=O)c1ccc(cc1)OC
C0050,COc1ccc(cc1)CC[N+](C)(C)C
C0051,CCc1n(OCc2ccccc2)cc[n+]1Cc1cc(OC)c(c(c1)OC)OC
C0052,CCCn1cc[n+](c1C)C
C0053,CCCC[n+]1cccc(c1)C(=O)O
C0054,FCC[n+]1ccccc1
C0055,CCOC(=O)C[N+](C)(C)C
C0056,FC(C([N+]1(C)CCOCC1)OCCC(C(C(F)F)(F)F)(F)F)F
C0057,CCCCCCCCCCCCC[PH2+]C
C0058,C[NH+]1C=NC=N1
C0059,CCCCCCCCCCCCCCC[n+]1ccn(c1)C
C0060,c1ccc2c(c1)n(c[n+]2C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3
C0061,CCCCCC[n+]1ccc(cc1)N(C)C
C0062,CC[n+]1ccccc1
C0063,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(cc1)-c1ccncc1
C0064,CCn1cc[n+](c1)CC
C0065,CCCCCCCCCCCCCCCCn1cc[n+](c1)CC(=NO)C
C0066,O=C(c1ccc(cc1)N(=O)=O)C[n+]1c(C)n(c2c1cccc2)Cc1ccccc1
C0067,Cc1cc[n+](cc1)C
C0068,CCC[N+](Cc1ccccc1)(CC)C
C0069,CCCCCC[N+](Cc1ccccc1)(CCCCCC)CCCCCC
C0070,Cn1cc[n+](c1)CC(=O)c1cccc(c1)Cl
C0071,CCCCCCCCCC[N+](CC(=O)O)(C)C
C0072,C=CC[N+](C(C)(C)C)(C)C
C0073,CCCCCCCCCCOCn1cc[n+](c1)COCCCCCCCCCC
C0074,CCCCCCCn1nc[n+](c1)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
C0075,N#CSc1n(C)cc[n+]1C
C0076,CCCCCCCCCCCCOCn1cc[n+](c1)COCCCCCCCCCCCC
C0077,C=CCn1cc[n+](c1)CCC#N
C0078,C=CCn1c[n+](c2c1cccc2)CC(=O)c1ccc(cc1)Br
C0079,CCCCCCCCCCCCCC[NH3+]
C0080,CC[C@@H]1C(=O)OC[C@@H]1Cc1c[n+](cn1C)Cc1ccc(cc1)N(=O)=O
C0081,CCCCCCCCCCCCCCCCCC[n+]1ccn(c1)C
C0082,C[n+]1ccn(c1)CCO[Si](C)(C)C
C0083,N#CCCCn1cc[n+](c1)C
C0084,N#CC[n+]1c(C)n(c2c1cccc2)C
C0085,C=CCn1c[n+](c2c1cccc2)Cc1ccc(cc1)Br
C0086,CCCC[n+]1ccn(c1)c1c(C)cc(cc1C)C
C0087,CC(C(=O)c1ccc(cc1)c1ccccc1)n1cc[n+](c1)C(C(=O)c1ccc(cc1)c1ccccc1)C
C0088,N#CCCCn1cc[n+](c1)CCCC#N
C0089,COC(=O)C[n+]1c(N)n(c2c1cccc2)C
C0090,CCOC(=O)C[n+]1cn(c2c1cccc2)Cc1ccccc1
C0091,CC([N+](C)(C)C)C
C0092,N#CCC[n+]1cc(C)cc(c1)C
C0093,O=N(=O)c1ccc(cc1)c1n(C)c2c([n+]1C)cc(cc2)N(=O)=O
C0094,CCCCCCCC[NH+]1C=CN(C1)CCCP(=O)(OCC)OCC
C0095,CCc1n(O)cc[n+]1CC(=O)c1ccc(cc1)Cl
C0096,FC(CC[n+]1ccc(cc1)c1ccncc1)(F)F
C0097,C=CCn1cc[n+](c1)CC#C
C0099,CCCCCCCC[N+](CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C)(C)C
C0100,COc1ccc(cc1)C(=O)C[N+](CC(=O)C)(C)C
C0101,CCC(C(C(=O)OC)[NH3+])C
C0102,CC(=O)OCCCC[n+]1cccc(c1)O
C0103,C[N+]1(C)CCCCC1
C0104,CCn1c[n+](c2c1cc(C)c(c2)C)CC(=O)c1ccc(cc1)N(=O)=O
C0105,CC[n+]1ccn(c1)CCc1ccccc1
C0106,ON=CC[n+]1cc[nH]c1C1OCCO1
